Polling Station,Taimur Saleem Khan,Jalal Khan,Muhammad Siddique
1,120,238,28
2,287,400,17
3,363,21,15
4,100,148,86
5,171,100,110
6,82,102,53
7,30,51,9
8,93,122,41
9,300,437,26
10,91,201,1
11,80,108,19
12,55,100,12
13,200,340,87
14,201,303,32
15,147,200,64
16,33,60,18
17,146,204,14
18,147,200,43
19,244,400,8
20,81,126,6
21,130,185,21
22,180,245,21
23,70,134,6
24,650,849,58
25,47,102,1
26,67,95,10
27,147,300,32
28,140,255,9
29,200,292,64
30,85,169,12
31,193,243,14
32,160,218,9
33,100,144,7
34,102,165,42
35,220,257,87
36,200,361,39
37,193,262,96
38,150,266,55
39,81,129,14
40,190,212,17
41,300,422,114
42,326,568,94
43,101,117,28
44,190,408,61
45,142,205,30
46,203,248,15
47,63,99,9
48,289,176,37
49,491,2,27
50,160,204,10
51,111,170,5
52,213,306,69
53,160,300,87
54,237,398,30
55,200,337,25
56,200,256,8
57,160,429,33
58,223,371,50
59,107,200,15
60,190,313,24
61,200,234,81
62,309,259,31
63,148,300,15
64,255,450,125
65,142,194,29
66,211,321,64
