Polling Station,Taimur Saleem Khan,Jalal Khan,Muhammad Sadeeq
1,312,46,28
2,414,273,17
3,363,21,15
4,248,0,86
5,270,1,110
6,172,0,53
7,80,1,89
8,213,2,41
9,735,2,26
10,291,1,1
11,183,5,0
12,153,2,12
13,532,8,87
14,503,1,32
15,345,2,64
16,93,0,18
17,317,33,14
18,341,6,43
19,623,21,8
20,189,18,6
21,300,15,21
22,397,28,21
23,175,29,6
24,650,49,58
25,147,2,1
26,149,13,9
27,345,2,64
28,392,3,9
29,423,69,64
30,251,8,12
31,410,26,14
32,372,6,9
33,236,8,7
34,265,2,42
35,464,13,87
36,532,29,39
37,422,33,96
38,388,28,55
39,196,14,14
40,292,10,17
41,656,66,114
42,849,45,94
43,198,20,28
44,574,24,61
45,338,9,30
46,428,23,15
47,149,13,9
48,456,9,37
49,491,2,27
50,355,9,10
51,188,93,5
52,466,53,69
53,440,20,87
54,600,35,30
55,513,24,25
56,445,11,8
57,568,21,33
58,549,45,50
59,294,13,15
60,491,12,24
61,405,29,81
62,490,78,31
63,415,33,15
64,651,54,125
65,329,7,29
66,502,30,64
